Author,Bibcode
"A. D., W.",1
"Allen, Leah B.",1
"Ames, Adelaide",14
"Anger, Carol Jane",6
"Applegate, Mary D.",6
"Ashbrook, Martha Dowse",3
"Attwill, William H.",1
"Austin, Edward P.",7
"Bailey, H. C.",2
"Bailey, Solon Irving",28
"Baker, James G.",2
"Bard, Darsie C.",1
"Barnard, E. E.",1
"Battery, I. G.",1
"Black, William H.",1
"Block, Dorothy W.",6
"Bond, George Phillips",74
"Bond, Selina C.",1
"Bond, William Cranch",44
"Borton, Martha C.",46
"Boyce, Emily Hughes",12
"Boyd, Constance D.",31
"Brasch, Frederick E.",2
"Breslin, Sarah E.",37
"Brigham, L. A.",1
"Brooks, Grace R.",1
"Brown, Wilbur V.",15
"Budreski, None",2
"C. H., L.",2
"Caldwell, Irma W.",2
"Campbell, Florence M.",12
"Campbell, Leon",93
"Cannon, Annie Jump",210
"Carlston, A. S.",1
"Catteral, Samuel C.",1
"Chandler, Seth C.",5
"Chant, Clarence A.",1
"Chase, C. T.",1
"Clifford, R. W.",1
"Clymer, William B.",5
"Colson, H. R.",2
"Colson, Harold R.",1
"Coolidge, Philip Sidney",3
"Coolidge, Philip Sydney",1
"Cram, Ernest R.",3
"Cuffey, James",2
"Davidovich, Paul",2
"Davis, Charles Henry",1
"DeCourcy Ward, Robert",1
"Douglas, Andrew E.",5
"Dunne, John A.",14
"Dwyer, Madelen R.",3
"Edmands, John R.",4
"Emberson, R. M.",4
"Erro, L. E.",1
"Fleming, Williamina P.",102
"Flint, L. S.",1
"Fowler, Mary",99
"Franks, William Sadler",1
"Fuller, Ernestine",41
"Gannett, Henry",4
"Gaposchkin, Sergei I.",4
"Gerasimovich, Boris Petrovich",9
"Gerrish, Willard P.",1
"Gill, Mabel A.",1
"Grover, F. W.",1
"H. J., P.",1
"Hall, Asaph",25
"Hanley, C. M.",3
"Harriman, Maude E.",2
"Harwood, Margaret",1
"Hawes, Marian Alberta",3
"Hearn, A.",2
"Hill, Guy",1
"Hillson, Naomi",2
"Hindiman, Richard M.",1
"Hoffleit, Dorrit",32
"Hogg, E.",2
"Howard, Charles P.",2
"Howe, Mary",1
"Hufnagel, L.",1
"Ingrao, Hector C.",2
"J. M., E.",1
"J. R., G.",1
"Jones, J. E.",1
"Jones, Rebecca B.",11
"King, Edward S.",8
"Langley, Samuel Pierpont",3
"Lassovszky, Charles",1
"Layzer, L. R. Ford",1
"Leavens, Marjorie Browning",1
"Leavitt, Henrietta S.",48
"Leich, Sofia",1
"Leland, Evelyn F.",55
"Lewis, Helen M.",1
"Lindsay, B.",2
"Locke, Hannah S.",10
"Lucignani, Linda",1
"M. L., C.",1
"Mackie, Johanna C. S.",8
"Manson, Edmund S.",1
"Marshall, R. K.",1
"Matthews, Genevieve F.",14
"Maulbetsch, Georgette",5
"Maury, Antonia C.",2
"Mayall, Margaret Walton",30
"McConnel, Augustus",6
"McCormack, Ann",1
"McCormack, Joseph F.",5
"Menzel, Donald",4
"Michaeli, Marion F.",1
"Michaelis, Marion F.",6
"Milhman, P. M.",1
"Miller, Mary L.",4
"Mohr, Jenka",6
"Mussells, Muriel E.",31
"Mussells, Sylvia F.",16
"Nail, Virginia McKibben",15
"O'Meara, Stephen",1
"O'Reilly, Mollie E.",34
"O'Reilly, Philip G.",7
"Observatory, Harvard College",19
"Octavo, Clayton",1
"Oliver, Norman J.",1
"Olmsted, C. M.",1
"Olmsted, Margaret",2
"Onychuk, None",1
"Paine, Robert Treat",1
"Paraboschi, Rita L.",1
"Payne, Cecilia H.",41
"Peirce, Charles S.",42
"Pickering, Edward C.",16
"Pickering, William H.",6
"Pratt, D. B.",4
"Raymond, Susan",5
"Reed, Maxwell",10
"Ricketts, Palmer C.",1
"Rogers, W. A.",1
"Rogers, William A.",167
"Ross, Natalie",1
"Russell, H. N.",2
"Ryder, Maude",1
"Safford, Truman Henry",73
"Saunders, R. G.",4
"Sawyer, Henry A.",1
"Sayer, Arthur R.",2
"Schilt, F.",1
"Schultz, L. G.",1
"Searle, Arthur",20
"Searle, George M.",8
"Seyfert, Carl Keenan",5
"Shapley, Harlow",7
"Shapley, Martha Betz",1
"Smith, Edwin",1
"Stein, C. N.",1
"Stevens, Harriet",1
"Stevens, Mabel C.",1
"Stewart, Delisle",1
"Suter, Rufus O.",1
"Swope, Henrietta H.",18
"Takayanagi, Kazutomo",2
"Thibault, L. H.",1
"Tifft, William G.",1
"Trouvelot, Etienne Leopold",4
"Trouvelot, George",1
"Tuttle, Charles W.",30
"Tuttle, Horace P.",1
"Upton, Winslow",3
"Vann, Mary H.",4
"Wace, Harriet",1
"Waldo, Frank",17
"Waldo, Leonard",10
"Walker, Arville",3
"Washborn, G. E.",1
"Waterbury, George A.",2
"Waterfields, W. F. H.",1
"Weissman, None",1
"Wells, Louisa D.",3
"Wendell, Oliver C.",40
"Wetmore, Sidney",3
"Whipple, Fred L.",1
"White, William W.",65
"Wilson, H. C.",1
"Wilson, Harvia H.",1
"Wilson, R. H.",1
"Winlock, Anna",2
"Winlock, Joseph",14
"Winlock, William C.",4
"Woods, Ida E.",49
"Wright, Francis Woodworth",21
"Wyleth, Benjamin F.",2
