,Author,Bibcode
0,"Leavitt, Henrietta S.",1904phae.proj.2519L
1,"Leavitt, Henrietta S.",1905phae.proj.2525L
2,"Leavitt, Henrietta S.",1912phae.proj..958L
3,"Bond, William Cranch",1849phae.proj....3B
4,"Payne, Cecilia H.",1924phae.proj.1124P
5,"Payne, Cecilia H.",1924phae.proj.1092P
6,"Fleming, Williamina P.",1896phae.proj..899F
7,"Tuttle, Charles W.",1850phae.proj..274T
8,"Payne, Cecilia H.",1924phae.proj.1118P
9,"Payne, Cecilia H.",1924phae.proj.1121P
10,"Payne, Cecilia H.",1928phae.proj.1135P
11,"Leavitt, Henrietta S.",1895phae.proj..938L
12,"Leavitt, Henrietta S.",1933phae.proj.2454L
13,"Payne, Cecilia H.",1924phae.proj.1101P
14,"Bond, George Phillips",1848phae.proj....1B
15,"Payne, Cecilia H.",1924phae.proj.1112P
16,"Payne, Cecilia H.",1925phae.proj.1095P
17,"Leavitt, Henrietta S.",1896phae.proj..939L
18,"Leavitt, Henrietta S.",1920phae.proj..967L
19,"Lewis, Helen M.",1928phae.proj.1132L
20,"Payne, Cecilia H.",1924phae.proj.1122P
21,"Payne, Cecilia H.",1924phae.proj.1099P
22,"Payne, Cecilia H.",1924phae.proj.1117P
23,"Leavitt, Henrietta S.",1908phae.proj..952L
24,"Fleming, Williamina P.",1882phae.proj..894F
25,"Payne, Cecilia H.",1924phae.proj.1127P
26,"Leavitt, Henrietta S.",1905phae.proj.2522L
27,,1892phae.proj.1814.
28,"Leavitt, Henrietta S.",1916phae.proj..964L
29,"Maury, Antonia C.",1918phae.proj.1053M
30,"Payne, Cecilia H.",1924phae.proj.1110P
31,"Payne, Cecilia H.",1924phae.proj.1114P
32,"Payne, Cecilia H.",1924phae.proj.1103P
33,,1856phae.proj..279.
34,"Cannon, Annie Jump",1901phae.proj.2098C
35,"Miller, Mary L.",1926phae.proj.1131M
36,"Hoffleit, Dorrit",1949phae.proj.2612H
37,"Hoffleit, Dorrit",1936phae.proj.2536H
38,"Cannon, Annie Jump",1907phae.proj.2105C
39,"Tuttle, Horace P.",1859phae.proj..264T
40,,1881phae.proj.1829.
41,"Bond, George Phillips",1850phae.proj....5B
42,"Bond, George Phillips",1847phae.proj..269B
43,"Dwyer, Madelen R.",1926phae.proj.1130D
44,"Leavitt, Henrietta S.",1918phae.proj.2531L
45,"Leavitt, Henrietta S.",1914phae.proj..960L
46,"Cannon, Annie Jump",1901phae.proj..781C
47,"Waldo, Leonard",1878phae.proj..475W
48,"Bond, George Phillips",1849phae.proj....2B
49,"Pickering, William H.",1899phae.proj.1365P
50,"Pickering, William H.",1878phae.proj.1156P
51,,1891phae.proj.1139.
52,"Leavitt, Henrietta S.",1919phae.proj..966L
53,"Leavitt, Henrietta S.",1902phae.proj..934L
54,,1884phae.proj.1824.
55,"Payne, Cecilia H.",1924phae.proj.1093P
56,"Leavitt, Henrietta S.",1914phae.proj..961L
57,"Maury, Antonia C.",1894phae.proj.1051M
58,"Leavitt, Henrietta S.",1904phae.proj..944L
59,"Leavitt, Henrietta S.",1915phae.proj..962L
60,"Cannon, Annie Jump",1914phae.proj.2168C
61,"Payne, Cecilia H.",1924phae.proj.1126P
62,"Cannon, Annie Jump",1904phae.proj.2099C
